id,created_at,variant_id,path,bot_name,user_agent,method,status,latency_ms,meta
1,2026-03-27 18:04:22.475144+00,combined,/combined/,Meta,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),GET,200,66,{}
2,2026-03-27 18:04:22.475699+00,semantic,/test-semantic/,Meta,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),GET,200,4,{}
3,2026-03-27 18:04:24.354442+00,combined,/combined-dsd/,Meta,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),GET,200,2,{}
4,2026-03-27 18:04:26.088071+00,dsd,/test-dsd/,Meta,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),GET,200,7,{}
5,2026-03-27 18:04:27.111528+00,combined,/combined-noscript/,Meta,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),GET,200,4,{}
6,2026-03-27 18:04:29.426703+00,noscript,/test-noscript/,Meta,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),GET,200,4,{}
7,2026-03-27 18:04:31.376203+00,jsonld,/test-jsonld/,Meta,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),GET,200,3,{}
8,2026-03-27 18:04:33.575059+00,microdata,/test-microdata/,Meta,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),GET,200,2,{}
9,2026-03-27 18:04:34.458318+00,control,/control/,Meta,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),GET,200,2,{}
10,2026-03-27 18:04:36.374304+00,aria,/test-aria/,Meta,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),GET,200,3,{}
11,2026-03-27 18:04:39.169017+00,semantic,/test-semantic,Meta,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),GET,200,2,{}
12,2026-03-27 18:04:41.424021+00,aria,/test-aria,Meta,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),GET,200,2,{}
13,2026-03-27 18:04:42.72663+00,jsonld,/test-jsonld,Meta,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),GET,200,1,{}
